"tenkm","cbc_code","index90","index10","diff","easting","northing"
"IS22","J.",0.1398514851,0.1373762376,-0.002475248,16744,290324
"IS23","J.",0,0.1311881188,0.1311881188,17575,300303
"IS24","J.",0,0.1188118812,0.1188118812,18407,310282
"IS25","J.",0.2475247525,0,-0.247524752,19241,320261
"IS29","J.",0,0.129950495,0.129950495,22582,360176
"IS32","J.",0.1188118812,0.3972772277,0.2784653465,26723,289493
"IS34","J.",0.1287128713,0.1150990099,-0.013613861,28386,309450
"IS36","J.",0.2698019802,0,-0.26980198,30053,329406
"IS41","J.",0.0853960396,0.150990099,0.0655940594,35872,278685
"IS42","J.",0.1175742574,0,-0.117574257,36701,288663
"IS43","J.",0,0.125,0.125,37532,298640
"IS47","J.",0.2339108911,0,-0.233910891,40865,338548
"IS48","J.",0.2660891089,0.2326732673,-0.033415842,41701,348525
"IS49","J.",0,0.1051980198,0.1051980198,42537,358501
"IS51","J.",0,0.120049505,0.120049505,45849,277856
"IS54","J.",0,0.1225247525,0.1225247525,48340,307785
"IS55","J.",0,0.5235148515,0.5235148515,49173,317761
"IS59","J.",0,0.1930693069,0.1930693069,52513,357664
"IS61","J.",0.1237623762,0.1212871287,-0.002475248,55825,277027
"IS63","J.",0,0.4801980198,0.4801980198,57485,296978
"IS64","J.",0,0.172029703,0.172029703,58316,306953
"IS67","J.",0,0.1138613861,0.1138613861,60816,336878
"IS72","J.",0.1126237624,0.103960396,-0.008663366,66629,286173
"IS74","J.",0,0.5111386139,0.5111386139,68291,306121
"IS78","J.",0,0.3935643564,0.3935643564,71626,346017
"IS79","J.",0,0.125,0.125,72462,355991
"IS82","J.",0.1101485149,0.452970297,0.3428217822,76603,285343
"IS83","J.",0,0.4913366337,0.4913366337,77433,295316
"IS88","J.",0,0.2636138614,0.2636138614,81599,345181
"IS92","J.",0.1410891089,0,-0.141089109,86576,284513
"IS93","J.",0.125,0.5,0.375,87406,294486
"IS94","J.",0,0.2339108911,0.2339108911,88237,304458
"IS96","J.",0.1386138614,0,-0.138613861,89902,324402
"IS98","J.",0,0.1089108911,0.1089108911,91571,344346
"IS99","J.",0.1126237624,0.1361386139,0.0235148515,92407,354318
"IT02","J.",0.198019802,0,-0.198019802,96548,283684
"IT03","J.",0.078630363,0,-0.078630363,97378,293656
