sp_rich,win_var_500,win_var_1000,win_var_2000,elev_var,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
5,0.12623160298411873,0.021177838086296183,0.0027359553725447433,31676.276412881663,-29.601147413055443,83.53127432161544,23.00841084827419,9212.05697755838,152.2329221750664,-202.3336137650995,354.56653594016586,51.085529876889964,-50.49482997453824,93.35663107507739,-144.2028511049199,584.1131052648761,69.3414731923356,36.27723624595241,18.771545871850094,175.24247555592234,113.85110581172655,170.95722613773253,141.66048756752105
3,0.05601431596955098,0.01015638967099617,0.0014336937985968945,22715.078854854994,-37.495911864004626,90.03683589698103,23.231859863839254,9704.146572814778,154.3067527235875,-222.30411472933756,376.61086745292505,87.95342127953043,-107.34715440698696,91.14730137845201,-159.3568720601486,528.2054027039973,73.69822422235669,29.67025971005822,28.13965957160503,183.0125619130624,93.6000311987825,182.63389545588086,107.89481066210813
2,0.03923700054909944,0.006238718401716441,7.594897668324741e-4,7606.009415677682,-29.475248514628625,89.84347389864077,24.094170550529988,9367.052549889358,157.32816170316397,-208.25540917249924,365.5835708756632,94.40672801998662,-100.23573797509101,94.40672801998662,-147.72328186842924,444.41710508152335,72.7156559949724,20.059165169577376,43.161468528493174,182.20052732889621,64.00444466013325,182.20052732889621,72.64265219620029
3,0.008182513155735479,0.0012267428604791541,1.5326956325463143e-4,2532.2719455147203,-10.779164540447155,80.79262807905936,24.74890193077195,8218.74834713618,154.9962259160018,-166.3510754300185,321.34730134602034,92.40112769704753,-78.42607392640164,98.28551540231152,-112.97238113964252,431.78250373006074,68.35196838905934,19.573483142479596,41.97541681929357,174.6517113189313,62.443111820410785,173.7988914840968,72.13075896579812
2,0.010691091160942358,0.0016995687748313703,2.1831792687080804e-4,2088.455961136627,0.06656779266090526,70.90877646562369,24.41852614620834,7318.991635646631,149.20387689348726,-136.2754056976341,285.4792825911214,90.56894160588108,-61.87451257618945,97.87856010631512,-89.29041877901375,462.20301779116016,66.40601098296578,21.56969359274628,37.408199917299115,179.73736461213937,68.98603887184372,176.44592006163546,85.81170224827753
5,0.020823117946471403,0.003396698260821315,4.537426116575919e-4,7697.537080162155,0.5742921004682542,62.03649663828985,23.007741068557912,6971.808620058542,141.05003620327537,-124.55637786276993,265.6064140660453,87.73782446694119,-57.941521296138454,93.73064958687435,-84.233701189999735,493.91922759025664,66.67797455716882,21.19236744757205,35.62491845986614,186.1799271800877,71.74922143303323,184.41018838902357,101.38945764855603
2,0.5677533799961784,0.06653450467649039,0.005945516434998025,31851.06873702501,21.617100058436364,55.19865792492401,26.33609832712073,5330.029654742062,138.2524885095421,-68.20704979056138,206.4595383001035,27.732629202755604,37.12410433652646,94.21460083135914,-38.887627995975365,946.0024282743407,123.24401679601218,46.80369193630753,25.701591207514593,311.2362438698622,158.3213606638498,204.66944969264378,252.26444481928525
5,0.5663875479759286,0.08688470150733102,0.010052510194388103,66525.6926844659,9.867130743754176,55.37574645358104,23.969216071283004,5967.9814436511015,140.60200509621168,-85.47796988287834,226.07997497909005,-5.190816646815985,28.960935575271733,93.12631319384413,-58.13608056687998,863.331825493624,107.13978814379622,41.81416871611388,25.420729452888132,276.9650729555736,142.40780485478558,187.48919609247156,247.32206875106206
8,0.9434841051645687,0.15821820489729105,0.019802180639334015,143308.9582592318,-16.0315164060969,66.63679498720026,23,7388.385794499707,137.20120108785835,-144.19266611569998,281.3938672035584,13.307148968319899,-32.899409824847275,85.02778841697555,-104.49912750270606,622.8240412699183,72.34166778591609,32.9516745395156,23.023523212439937,189.60471124440417,106.31817027125888,178.03522076002835,167.0625681134759
7,0.22545636618951095,0.04002778889531555,0.005603555258641868,56694.45710230654,-33.79861140379279,76.9815863110583,23,8682.36657186321,139.9468892457276,-191.46744144385872,331.41433068958634,79.76383472602923,-74.37293665151347,83.15998715593732,-140.24424064579765,551.7139227724394,73.77648771993834,31.081464440485043,25.322751664131015,181.3498572671797,97.36499999893998,180.955019546679,130.87009464428587
3,0.014169098156915073,0.002392748760243035,3.189182889160254e-4,4357.1094281152045,-32.248129517895876,90.4855385692766,23.007317925144495,9976.163520788992,163.50797626442414,-221.25505683760116,384.7630331020253,98.56765457009378,-103.55337889087073,99.98314840002855,-158.2583859162062,504.4229991348413,71.04972147974308,27.452697678120735,30.47072448722252,179.22783897893336,85.84302370811481,179.12054480953614,98.43198646990848
2,0.02515765792201714,0.003990671066973296,4.988722781509387e-4,4374.956687903599,-27.38279161525157,93.29264058661977,23.231931355551467,10087.479697025803,171.14426903434594,-219.67646439390217,390.8207334282481,105.42797153734543,-101.00147768634233,105.42797153734543,-156.0239764420762,418.9532149602801,70.51643008993527,17.055882532943066,47.623227001530736,178.97271686598287,55.18175620384643,178.97271686598287,62.79974130679858
4,0.01253734874074849,0.0018376975481631552,2.1500022356255575e-4,4580.7054423428135,-14.611752801715937,85.616131961909,23.729953838293433,9196.918414067066,167.17705830510937,-186.71601639571372,353.89307470082315,103.5140974328499,-87.53205233825761,106.36643806402589,-131.51176765157587,416.77302098362713,68.01918088035181,17.555408020080435,45.53370113059355,174.10153111999563,57.255267320184316,173.86474453552978,64.35054133059705
5,0.008683160581131048,0.001224392748835894,1.4124201850593534e-4,1739.8773190846566,-4.600695810218881,76.65643767894007,23.692767642728146,8179.031770564936,159.70177639604844,-156.4847390001856,316.1865153962341,97.88515632786607,-71.81543920360004,104.15266763631655,-106.67587184814356,450.7969193917695,67.35437405597548,20.818261891100136,40.278614252662265,179.68904500476881,64.47979199669899,178.46668830533554,78.10777890192523
